관측소명,시간,수위
여수대교,2009-05-15 00:00,15.43 
여수대교,2009-05-15 00:10,15.42 
여수대교,2009-05-15 00:20,15.43 
여수대교,2009-05-15 00:30,15.42 
여수대교,2009-05-15 00:40,15.41 
여수대교,2009-05-15 00:50,15.42 
여수대교,2009-05-15 01:00,15.42 
여수대교,2009-05-15 01:10,15.42 
여수대교,2009-05-15 01:20,15.42 
여수대교,2009-05-15 01:30,15.41 
여수대교,2009-05-15 01:40,15.42 
여수대교,2009-05-15 01:50,15.41 
여수대교,2009-05-15 02:00,15.42 
여수대교,2009-05-15 02:10,15.41 
여수대교,2009-05-15 02:21,15.43 
여수대교,2009-05-15 02:30,15.41 
여수대교,2009-05-15 02:40,15.42 
여수대교,2009-05-15 02:51,15.41 
여수대교,2009-05-15 03:00,15.41 
여수대교,2009-05-15 03:10,15.42 
여수대교,2009-05-15 03:20,15.41 
여수대교,2009-05-15 03:30,15.42 
여수대교,2009-05-15 03:40,15.42 
여수대교,2009-05-15 03:50,15.42 
여수대교,2009-05-15 04:00,15.41 
여수대교,2009-05-15 04:10,15.42 
여수대교,2009-05-15 04:20,15.42 
여수대교,2009-05-15 04:30,15.43 
여수대교,2009-05-15 04:40,15.42 
여수대교,2009-05-15 04:50,15.42 
여수대교,2009-05-15 05:00,15.42 
여수대교,2009-05-15 05:10,15.42 
여수대교,2009-05-15 05:20,15.42 
여수대교,2009-05-15 05:30,15.42 
여수대교,2009-05-15 05:40,15.42 
여수대교,2009-05-15 05:50,15.43 
여수대교,2009-05-15 06:00,15.42 
여수대교,2009-05-15 06:10,15.42 
여수대교,2009-05-15 06:20,15.42 
여수대교,2009-05-15 06:30,15.42 
여수대교,2009-05-15 06:40,15.43 
여수대교,2009-05-15 06:50,15.42 
여수대교,2009-05-15 07:00,15.42 
여수대교,2009-05-15 07:10,15.43 
여수대교,2009-05-15 07:21,15.43 
여수대교,2009-05-15 07:30,15.42 
여수대교,2009-05-15 07:40,15.42 
여수대교,2009-05-15 07:50,15.43 
여수대교,2009-05-15 08:00,15.42 
여수대교,2009-05-15 08:10,15.42 
여수대교,2009-05-15 08:20,15.42 
여수대교,2009-05-15 08:30,15.42 
여수대교,2009-05-15 08:40,15.41 
여수대교,2009-05-15 08:50,15.42 
여수대교,2009-05-15 09:00,15.41 
여수대교,2009-05-15 09:10,15.41 
여수대교,2009-05-15 09:20,15.40 
여수대교,2009-05-15 09:30,15.40 
여수대교,2009-05-15 09:40,15.40 
여수대교,2009-05-15 09:50,15.41 
여수대교,2009-05-15 10:01,15.40 
여수대교,2009-05-15 10:10,15.41 
여수대교,2009-05-15 10:20,15.41 
여수대교,2009-05-15 10:31,15.40 
여수대교,2009-05-15 10:40,15.40 
여수대교,2009-05-15 10:50,15.40 
여수대교,2009-05-15 11:00,15.40 
여수대교,2009-05-15 11:10,15.40 
여수대교,2009-05-15 11:23,15.40 
여수대교,2009-05-15 11:30,15.39 
여수대교,2009-05-15 11:40,15.40 
여수대교,2009-05-15 11:50,15.38 
여수대교,2009-05-15 12:00,15.39 
여수대교,2009-05-15 12:10,15.39 
여수대교,2009-05-15 12:20,15.39 
여수대교,2009-05-15 12:31,15.39 
여수대교,2009-05-15 12:40,15.38 
여수대교,2009-05-15 12:50,15.39 
여수대교,2009-05-15 13:00,15.39 
여수대교,2009-05-15 13:10,15.39 
