관측소명,시간,수위
여수대교,2008-05-15 00:00,15.42 
여수대교,2008-05-15 00:10,15.42 
여수대교,2008-05-15 00:22,15.42 
여수대교,2008-05-15 00:30,15.42 
여수대교,2008-05-15 00:40,15.42 
여수대교,2008-05-15 00:51,15.42 
여수대교,2008-05-15 01:00,15.42 
여수대교,2008-05-15 01:10,15.42 
여수대교,2008-05-15 01:21,15.42 
여수대교,2008-05-15 01:30,15.40 
여수대교,2008-05-15 01:40,15.42 
여수대교,2008-05-15 01:50,15.42 
여수대교,2008-05-15 02:00,15.40 
여수대교,2008-05-15 02:10,15.42 
여수대교,2008-05-15 02:20,15.00 
여수대교,2008-05-15 02:30,15.42 
여수대교,2008-05-15 02:40,15.42 
여수대교,2008-05-15 02:50,15.42 
여수대교,2008-05-15 03:00,15.40 
여수대교,2008-05-15 03:10,15.42 
여수대교,2008-05-15 03:21,15.42 
여수대교,2008-05-15 03:30,15.42 
여수대교,2008-05-15 03:40,15.42 
여수대교,2008-05-15 03:51,15.42 
여수대교,2008-05-15 04:00,15.42 
여수대교,2008-05-15 04:10,15.42 
여수대교,2008-05-15 04:21,15.42 
여수대교,2008-05-15 04:30,15.42 
여수대교,2008-05-15 04:40,15.00 
여수대교,2008-05-15 05:00,15.42 
여수대교,2008-05-15 05:10,15.40 
여수대교,2008-05-15 05:20,15.40 
여수대교,2008-05-15 05:30,15.42 
여수대교,2008-05-15 05:40,15.42 
여수대교,2008-05-15 05:50,15.42 
여수대교,2008-05-15 06:00,15.42 
여수대교,2008-05-15 06:10,15.40 
여수대교,2008-05-15 06:20,15.42 
여수대교,2008-05-15 06:30,15.42 
여수대교,2008-05-15 06:40,15.42 
여수대교,2008-05-15 06:51,15.00 
여수대교,2008-05-15 07:00,15.42 
여수대교,2008-05-15 07:10,15.42 
여수대교,2008-05-15 07:21,15.42 
여수대교,2008-05-15 07:30,15.42 
여수대교,2008-05-15 07:40,15.42 
여수대교,2008-05-15 07:51,15.42 
여수대교,2008-05-15 08:00,15.42 
여수대교,2008-05-15 08:10,15.42 
여수대교,2008-05-15 08:20,15.42 
여수대교,2008-05-15 08:30,15.00 
여수대교,2008-05-15 08:40,15.42 
여수대교,2008-05-15 08:50,15.42 
여수대교,2008-05-15 09:00,15.42 
여수대교,2008-05-15 09:10,15.42 
여수대교,2008-05-15 09:20,15.42 
여수대교,2008-05-15 09:40,15.42 
여수대교,2008-05-15 09:50,15.42 
여수대교,2008-05-15 10:01,15.42 
여수대교,2008-05-15 10:10,15.42 
